FLIGHT_DATE,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1/1/15,F9,1295,CVG,DFW,3:20:00 PM,3:19:00 PM,-1,10,3:29:00 PM,155,159,140,812,1:49:00 AM,9,4:55:00 PM,4:58:00 PM,3,0,0,,,,,,
1/1/15,MQ,2917,ORD,CVG,3:25:00 PM,3:23:00 PM,-2,13,3:36:00 PM,68,59,40,265,1:16:00 AM,6,5:33:00 PM,5:22:00 PM,-11,0,0,,,,,,
1/1/15,OO,4591,MSP,CVG,3:30:00 PM,3:28:00 PM,-2,26,3:54:00 PM,115,109,77,596,1:11:00 AM,6,6:25:00 PM,6:17:00 PM,-8,0,0,,,,,,
1/1/15,EV,4493,IAH,CVG,3:45:00 PM,3:43:00 PM,-2,21,4:04:00 PM,141,136,110,871,1:54:00 AM,5,7:06:00 PM,6:59:00 PM,-7,0,0,,,,,,
1/1/15,OO,4530,DTW,CVG,3:50:00 PM,3:49:00 PM,-1,17,4:06:00 PM,76,70,47,229,1:53:00 AM,6,5:06:00 PM,4:59:00 PM,-7,0,0,,,,,,
1/1/15,EV,4352,EWR,CVG,3:55:00 PM,3:53:00 PM,-2,15,4:08:00 PM,132,133,113,569,1:01:00 AM,5,6:07:00 PM,6:06:00 PM,-1,0,0,,,,,,
1/1/15,DL,1126,ATL,CVG,4:10:00 PM,4:08:00 PM,-2,23,4:31:00 PM,85,89,61,373,1:32:00 AM,5,5:35:00 PM,5:37:00 PM,2,0,0,,,,,,
1/1/15,EV,4629,CVG,EWR,4:14:00 PM,4:07:00 PM,-7,8,4:15:00 PM,113,103,81,569,1:36:00 AM,14,6:07:00 PM,5:50:00 PM,-17,0,0,,,,,,
1/1/15,MQ,2889,ORD,CVG,4:15:00 PM,4:53:00 PM,38,20,5:13:00 PM,78,69,42,265,1:55:00 AM,7,6:33:00 PM,7:02:00 PM,29,0,0,,0,0,29,0,0
1/1/15,MQ,3186,DFW,CVG,4:15:00 PM,4:53:00 PM,38,26,5:19:00 PM,128,140,105,812,2:04:00 AM,9,7:23:00 PM,8:13:00 PM,50,0,0,,12,0,27,11,0
1/1/15,DL,1881,CVG,ATL,4:35:00 PM,4:29:00 PM,-6,15,4:44:00 PM,94,86,66,373,1:50:00 AM,5,6:09:00 PM,5:55:00 PM,-14,0,0,,,,,,
1/1/15,DL,1336,MCO,CVG,4:45:00 PM,4:45:00 PM,0,11,4:56:00 PM,130,125,108,757,1:44:00 AM,6,6:55:00 PM,6:50:00 PM,-5,0,0,,,,,,
1/1/15,OO,6239,CVG,DEN,4:53:00 PM,4:47:00 PM,-6,13,5:00:00 PM,192,223,192,1069,1:12:00 AM,18,6:05:00 PM,6:30:00 PM,25,0,0,,25,0,0,0,0
1/1/15,DL,841,TPA,CVG,4:55:00 PM,4:45:00 PM,-10,13,4:58:00 PM,134,127,108,773,1:46:00 AM,6,7:09:00 PM,6:52:00 PM,-17,0,0,,,,,,
1/1/15,MQ,3162,CVG,DFW,5:15:00 PM,5:15:00 PM,0,11,5:26:00 PM,160,174,147,812,1:53:00 AM,16,6:55:00 PM,7:09:00 PM,14,0,0,,,,,,
1/1/15,EV,5944,DEN,CVG,5:25:00 PM,6:47:00 PM,82,32,7:19:00 PM,158,170,121,1069,2:20:00 AM,17,10:03:00 PM,11:37:00 PM,94,0,0,,12,0,57,25,0
1/1/15,F9,1294,DFW,CVG,5:35:00 PM,5:35:00 PM,0,7,5:42:00 PM,125,110,97,812,2:19:00 AM,6,8:40:00 PM,8:25:00 PM,-15,0,0,,,,,,
1/1/15,MQ,3567,CVG,MIA,5:56:00 PM,6:29:00 PM,33,12,6:41:00 PM,155,138,122,948,2:43:00 AM,4,8:31:00 PM,8:47:00 PM,16,0,0,,0,0,4,12,0
1/1/15,MQ,2917,CVG,ORD,6:00:00 PM,5:51:00 PM,-9,14,6:05:00 PM,90,77,51,265,1:56:00 AM,12,6:30:00 PM,6:08:00 PM,-22,0,0,,,,,,
1/1/15,MQ,3258,DFW,CVG,6:10:00 PM,6:23:00 PM,13,29,6:52:00 PM,128,138,101,812,2:33:00 AM,8,9:18:00 PM,9:41:00 PM,23,0,0,,10,0,0,8,5
1/1/15,EV,4357,CVG,IAH,6:37:00 PM,6:43:00 PM,6,12,6:55:00 PM,168,185,161,871,2:36:00 AM,12,8:25:00 PM,8:48:00 PM,23,0,0,,17,0,6,0,0
1/1/15,MQ,2907,ORD,CVG,6:40:00 PM,7:05:00 PM,25,15,7:20:00 PM,68,63,41,265,2:01:00 AM,7,8:48:00 PM,9:08:00 PM,20,0,0,,0,0,20,0,0
1/1/15,MQ,3549,MIA,CVG,6:45:00 PM,6:37:00 PM,-8,17,6:54:00 PM,165,164,141,948,2:15:00 AM,6,9:30:00 PM,9:21:00 PM,-9,0,0,,,,,,
1/1/15,MQ,2889,CVG,ORD,7:00:00 PM,7:26:00 PM,26,23,7:49:00 PM,95,128,56,265,1:45:00 AM,49,7:35:00 PM,8:34:00 PM,59,0,0,,33,0,0,26,0
1/1/15,EV,4536,EWR,CVG,7:07:00 PM,7:06:00 PM,-1,18,7:24:00 PM,132,136,106,569,2:10:00 AM,12,9:19:00 PM,9:22:00 PM,3,0,0,,,,,,
1/1/15,DL,990,ATL,CVG,7:25:00 PM,7:25:00 PM,0,21,7:46:00 PM,87,88,60,373,2:46:00 AM,7,8:52:00 PM,8:53:00 PM,1,0,0,,,,,,
1/1/15,EV,4352,CVG,EWR,7:36:00 PM,7:26:00 PM,-10,13,7:39:00 PM,114,110,82,569,2:01:00 AM,15,9:30:00 PM,9:16:00 PM,-14,0,0,,,,,,
1/1/15,MQ,3186,CVG,DFW,7:50:00 PM,8:32:00 PM,42,16,8:48:00 PM,160,180,155,812,2:23:00 AM,9,9:30:00 PM,10:32:00 PM,62,0,0,,20,0,0,42,0
1/1/15,MQ,3438,DFW,CVG,7:55:00 PM,7:56:00 PM,1,20,8:16:00 PM,128,118,94,812,2:50:00 AM,4,11:03:00 PM,10:54:00 PM,-9,0,0,,,,,,
1/1/15,OO,4813,CVG,BNA,7:55:00 PM,7:49:00 PM,-6,13,8:02:00 PM,68,65,45,230,1:47:00 AM,7,8:03:00 PM,7:54:00 PM,-9,0,0,,,,,,
1/1/15,OO,4443,CVG,MKE,8:00:00 PM,7:54:00 PM,-6,12,8:06:00 PM,83,69,52,318,1:58:00 AM,5,8:23:00 PM,8:03:00 PM,-20,0,0,,,,,,
1/1/15,EV,4549,IAH,CVG,8:07:00 PM,8:21:00 PM,14,12,8:33:00 PM,133,128,102,871,2:15:00 AM,14,11:20:00 PM,11:29:00 PM,9,0,0,,,,,,
1/1/15,MQ,3310,ORD,CVG,8:15:00 PM,9:00:00 PM,45,13,9:13:00 PM,68,64,42,265,2:55:00 AM,9,10:23:00 PM,11:04:00 PM,41,0,0,,0,0,26,15,0
1/1/15,MQ,3013,ORD,CVG,9:05:00 PM,9:06:00 PM,1,15,9:21:00 PM,68,62,38,265,2:59:00 AM,9,11:13:00 PM,11:08:00 PM,-5,0,0,,,,,,
1/1/15,F9,1299,CVG,PHX,9:20:00 PM,9:14:00 PM,-6,9,9:23:00 PM,250,270,252,1569,2:35:00 AM,9,11:30:00 PM,11:44:00 PM,14,0,0,,,,,,
1/1/15,DL,2551,SAN,CVG,11:00:00 PM,10:52:00 PM,-8,21,11:13:00 PM,240,232,206,1865,5:39:00 AM,5,6:00:00 AM,5:44:00 AM,-16,0,0,,,,,,
1/1/15,DL,1807,SEA,CVG,11:10:00 PM,11:10:00 PM,0,13,11:23:00 PM,254,243,223,1965,6:06:00 AM,7,6:24:00 AM,6:13:00 AM,-11,0,0,,,,,,
1/2/15,F9,1298,PHX,CVG,3:15:00 PM,10:34:00 AM,19,17,3:51:00 AM,205,197,172,1569,5:43:00 AM,8,5:40:00 AM,5:51:00 AM,11,0,0,,,,,,
1/2/15,DL,1520,CVG,ATL,6:00:00 AM,5:54:00 AM,-6,14,6:08:00 AM,107,87,63,373,7:11:00 AM,10,7:47:00 AM,7:21:00 AM,-26,0,0,,,,,,
1/2/15,EV,4148,CVG,EWR,6:00:00 AM,5:55:00 AM,-5,10,6:05:00 AM,121,95,79,569,7:24:00 AM,6,8:01:00 AM,7:30:00 AM,-31,0,0,,,,,,
1/2/15,EV,4150,EWR,CVG,6:00:00 AM,5:56:00 AM,-4,24,6:20:00 AM,137,133,103,569,8:03:00 AM,6,8:17:00 AM,8:09:00 AM,-8,0,0,,,,,,
1/2/15,MQ,3355,CVG,MIA,6:00:00 AM,5:55:00 AM,-5,8,6:03:00 AM,153,147,135,948,8:18:00 AM,4,8:33:00 AM,8:22:00 AM,-11,0,0,,,,,,
1/2/15,MQ,3597,CVG,DFW,6:00:00 AM,5:55:00 AM,-5,12,6:07:00 AM,165,165,147,812,7:34:00 AM,6,7:45:00 AM,7:40:00 AM,-5,0,0,,,,,,
1/2/15,F9,1308,IAD,CVG,6:15:00 AM,6:26:00 AM,11,14,6:40:00 AM,95,95,74,388,7:54:00 AM,7,7:50:00 AM,8:01:00 AM,11,0,0,,,,,,
1/2/15,EV,4598,CVG,IAH,6:21:00 AM,6:19:00 AM,-2,13,6:32:00 AM,171,181,151,871,8:03:00 AM,17,8:12:00 AM,8:20:00 AM,8,0,0,,,,,,
1/2/15,MQ,3213,CVG,ORD,6:30:00 AM,6:24:00 AM,-6,15,6:39:00 AM,80,75,47,265,6:26:00 AM,13,6:50:00 AM,6:39:00 AM,-11,0,0,,,,,,
1/2/15,OO,4811,BNA,CVG,6:32:00 AM,6:29:00 AM,-3,12,6:41:00 AM,72,54,38,230,8:19:00 AM,4,8:44:00 AM,8:23:00 AM,-21,0,0,,,,,,
1/2/15,DL,803,CVG,MCO,7:00:00 AM,6:56:00 AM,-4,15,7:11:00 AM,141,129,107,757,8:58:00 AM,7,9:21:00 AM,9:05:00 AM,-16,0,0,,,,,,
1/2/15,DL,2367,CVG,FLL,7:00:00 AM,6:58:00 AM,-2,15,7:13:00 AM,168,155,136,932,9:29:00 AM,4,9:48:00 AM,9:33:00 AM,-15,0,0,,,,,,
1/2/15,DL,2315,CVG,ATL,7:10:00 AM,7:07:00 AM,-3,13,7:20:00 AM,102,84,65,373,8:25:00 AM,6,8:52:00 AM,8:31:00 AM,-21,0,0,,,,,,
1/2/15,DL,1502,CVG,TPA,7:20:00 AM,7:16:00 AM,-4,10,7:26:00 AM,141,124,111,773,9:17:00 AM,3,9:41:00 AM,9:20:00 AM,-21,0,0,,,,,,
1/2/15,DL,2647,ATL,CVG,7:20:00 AM,7:20:00 AM,0,15,7:35:00 AM,85,80,58,373,8:33:00 AM,7,8:45:00 AM,8:40:00 AM,-5,0,0,,,,,,
1/2/15,MQ,3491,DFW,CVG,7:20:00 AM,7:43:00 AM,23,27,8:10:00 AM,128,128,97,812,1:47:00 AM,4,10:28:00 AM,10:51:00 AM,23,0,0,,0,0,23,0,0
